[0,                                                params  mean_test_score  rank_test_score
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.553916               17
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.557075                9
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.526513               25
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.555200               13
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.526277               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.529745               21, 82,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.532782               25
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.536179               17
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.532982               21
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.545006               13
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.531900               29
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.545535                9
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.548922                5
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.553888                1
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.532782               25
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.536179               17
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.532982               21
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.545006               13
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.531900               29
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.545535                9
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.548922                5
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.553888                1
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.532782               25
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.536179               17
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.532982               21
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.545006               13
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.531900               29
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.545535                9
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.548922                5
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.553888                1
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.532782               25
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.536179               17
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.532982               21
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.545006               13
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.531900               29
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.545535                9
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.548922                5
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.553888                1, 83,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.548613               17
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.549416               13
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.558055                5
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.561205                1
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.541802               21
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.553850                9
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.515845               29
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.517570               25
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.548613               17
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.549416               13
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.558055                5
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.561205                1
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.541802               21
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.553850                9
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.515845               29
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.517570               25
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.548613               17
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.549416               13
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.558055                5
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.561205                1
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.541802               21
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.553850                9
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.515845               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.517570               25
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.548613               17
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.549416               13
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.558055                5
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.561205                1
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.541802               21
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.553850                9
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.515845               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.517570               25, 84,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.540603               13
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.540778                9
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.553357                5
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.560240                1
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.529775               21
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.530160               17
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.512724               29
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.527594               25
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.540603               13
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.540778                9
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.553357                5
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.560240                1
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.529775               21
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.530160               17
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.512724               29
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.527594               25
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.540603               13
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.540778                9
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.553357                5
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.560240                1
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.529775               21
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.530160               17
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.512724               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.527594               25
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.540603               13
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.540778                9
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.553357                5
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.560240                1
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.529775               21
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.530160               17
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.512724               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.527594               25, 85,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.514306               29
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.517608               25
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.531811               17
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.534161               13
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.538227                5
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.534717                9
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.520305               21
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.538896                1
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.514306               29
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.517608               25
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.531811               17
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.534161               13
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.538227                5
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.534717                9
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.520305               21
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.538896                1
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.514306               29
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.517608               25
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.531811               17
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.534161               13
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.538227                5
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.534717                9
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.520305               21
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.538896                1
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.514306               29
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.517608               25
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.531811               17
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.534161               13
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.538227                5
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.534717                9
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.520305               21
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.538896                1, 86,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.563275                9
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.558440               13
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.569891                5
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.574143                1
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.519780               29
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.540733               25
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.547348               21
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.553540               17
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.563275                9
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.558440               13
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.569891                5
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.574143                1
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.519780               29
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.540733               25
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.547348               21
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.553540               17
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.563275                9
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.558440               13
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.569891                5
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.574143                1
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.519780               29
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.540733               25
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.547348               21
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.553540               17
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.563275                9
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.558440               13
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.569891                5
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.574143                1
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.519780               29
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.540733               25
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.547348               21
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.553540               17, 87,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.551004                5
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.547030               13
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.552189                1
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.548763                9
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.532204               21
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.539604               17
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.516044               29
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.520489               25
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.551004                5
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.547030               13
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.552189                1
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.548763                9
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.532204               21
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.539604               17
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.516044               29
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.520489               25
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.551004                5
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.547030               13
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.552189                1
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.548763                9
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.532204               21
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.539604               17
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.516044               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.520489               25
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.551004                5
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.547030               13
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.552189                1
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.548763                9
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.532204               21
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.539604               17
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.516044               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.520489               25, 88,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.532267                9
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.530748               17
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.530822               13
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.524258               29
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.538366                1
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.526969               25
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.534461                5
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.530543               21
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.532267                9
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.530748               17
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.530822               13
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.524258               29
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.538366                1
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.526969               25
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.534461                5
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.530543               21
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.532267                9
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.530748               17
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.530822               13
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.524258               29
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.538366                1
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.526969               25
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.534461                5
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.530543               21
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.532267                9
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.530748               17
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.530822               13
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.524258               29
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.538366                1
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.526969               25
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.534461                5
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.530543               21, 89,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.555930                1
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.553487                9
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.552135               13
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.554845                5
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.547721               21
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.548216               17
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.546319               25
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.543998               29
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.555930                1
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.553487                9
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.552135               13
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.554845                5
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.547721               21
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.548216               17
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.546319               25
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.543998               29
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.555930                1
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.553487                9
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.552135               13
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.554845                5
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.547721               21
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.548216               17
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.546319               25
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.543998               29
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.555930                1
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.553487                9
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.552135               13
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.554845                5
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.547721               21
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.548216               17
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.546319               25
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.543998               29, 90,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.537354               17
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.532591               21
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.529211               25
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.527400               29
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.544013                9
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.543828               13
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.553401                1
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.546606                5
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.537354               17
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.532591               21
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.529211               25
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.527400               29
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.544013                9
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.543828               13
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.553401                1
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.546606                5
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.537354               17
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.532591               21
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.529211               25
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.527400               29
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.544013                9
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.543828               13
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.553401                1
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.546606                5
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.537354               17
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.532591               21
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.529211               25
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.527400               29
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.544013                9
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.543828               13
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.553401                1
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.546606                5, 91,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.539821               13
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.542293                9
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.550100                5
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.554983                1
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.533063               25
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.537788               17
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.526693               29
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.534831               21
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.539821               13
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.542293                9
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.550100                5
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.554983                1
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.533063               25
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.537788               17
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.526693               29
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.534831               21
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.539821               13
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.542293                9
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.550100                5
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.554983                1
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.533063               25
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.537788               17
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.526693               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.534831               21
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.539821               13
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.542293                9
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.550100                5
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.554983                1
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.533063               25
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.537788               17
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.526693               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.534831               21, 92,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.537391               17
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.538210               13
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.530576               25
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.531916               21
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.527564               29
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.540265                9
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.548699                1
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.541152                5
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.537391               17
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.538210               13
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.530576               25
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.531916               21
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.527564               29
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.540265                9
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.548699                1
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.541152                5
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.537391               17
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.538210               13
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.530576               25
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.531916               21
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.527564               29
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.540265                9
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.548699                1
