[0,                                                params  mean_test_score  rank_test_score
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.563328               13
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.544236               25
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.569328                9
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.548375               21
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.543875               29
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.570881                1
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.569910                5
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.561404               17
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.563328               13
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.544236               25
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.569328                9
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.548375               21
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.543875               29, 6,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.578043               21
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.580418                9
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.581079                5
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.574370               25
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.572371               29
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.578768               17
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.581901                1
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.579097               13
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.578043               21
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.580418                9
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.581079                5
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.574370               25
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.572371               29
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.578768               17
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.581901                1
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.579097               13
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.578043               21
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.580418                9
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.581079                5
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.574370               25
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.572371               29
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.578768               17
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.581901                1
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.579097               13
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.578043               21
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.580418                9
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.581079                5
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.574370               25
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.572371               29
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.578768               17
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.581901                1
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.579097               13, 7,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.559219                9
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.559994                5
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.559164               13
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.564888                1
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.549602               21
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.558321               17
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.532422               29
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.547444               25
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.559219                9
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.559994                5
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.559164               13
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.564888                1
